chamber,congress,year,party.mean.diff.d1,prop.moderate.d1,prop.moderate.dem.d1,prop.moderate.rep.d1,overlap,chamber.mean.d1,chamber.mean.d2,dem.mean.d1,dem.mean.d2,rep.mean.d1,rep.mean.d2,north.rep.mean.d1,north.rep.mean.d2,south.rep.mean.d1,south.rep.mean.d2,north.dem.mean.d1,north.dem.mean.d2,south.dem.mean.d1,south.dem.mean.d2
Senate,66,1919,0.718318431372549,0.2871287128712871,0.42,0.1568627450980392,0,0.06947524752475247,-0.06157425742574257,-0.29324,-0.15808,0.425078431372549,0.03303921568627451,0.425078431372549,0.03303921568627451,NaN,NaN,-0.22078260869565217,-0.035260869565217394,-0.354962962962963,-0.2627037037037037
Senate,67,1921,0.7071526806526807,0.26666666666666666,0.4358974358974359,0.16666666666666666,0,0.15808571428571427,-0.011666666666666667,-0.2864102564102564,-0.1387948717948718,0.42074242424242425,0.06345454545454546,0.418203125,0.05996875,0.502,0.17500000000000002,-0.1999375,-0.0749375,-0.34656521739130436,-0.18321739130434783
Senate,68,1923,0.6671773748521876,0.3173076923076923,0.4883720930232558,0.1694915254237288,0,0.13374038461538462,0.014682692307692308,-0.25327906976744186,-0.09018604651162791,0.4138983050847458,0.06083050847457627,0.4108070175438596,0.05682456140350877,0.502,0.17500000000000002,-0.1524761904761905,0.01338095238095238,-0.3495,-0.18904545454545454
Senate,69,1925,0.6666183759054518,0.3238095238095238,0.46511627906976744,0.21311475409836064,0.009615384615384616,0.12318095238095238,0.0564,-0.2686511627906977,-0.09153488372093023,0.3979672131147541,0.14557377049180328,0.39324561403508773,0.14056140350877194,0.46525,0.217,-0.1748695652173913,-0.023956521739130435,-0.3765,-0.16925
Senate,70,1927,0.6651780660377359,0.3431372549019608,0.4583333333333333,0.22641509433962265,0.019801980198019802,0.07767647058823529,0.06333333333333334,-0.2726875,-0.050020833333333334,0.39249056603773586,0.14873584905660378,0.391078431372549,0.14441176470588235,0.4285,0.259,-0.19076923076923077,-0.03173076923076923,-0.3695,-0.07163636363636364
Senate,71,1929,0.6818991477272727,0.3302752293577982,0.4772727272727273,0.21875,0.018518518518518517,0.12638532110091744,0.05408256880733945,-0.27847727272727274,0.012613636363636365,0.403421875,0.06815625,0.4043934426229508,0.061,0.38366666666666666,0.21366666666666664,-0.19725,0.0654,-0.3461666666666667,-0.031375
Senate,72,1931,0.5945192307692307,0.4,0.5,0.28846153846153844,0.14423076923076922,0.0712095238095238,0.1307047619047619,-0.22738461538461538,0.16390384615384615,0.3671346153846154,0.08121153846153846,0.3671346153846154,0.08121153846153846,NaN,NaN,-0.182,0.17579166666666668,-0.2662857142857143,0.15371428571428572
Senate,73,1933,0.5398844074844075,0.49514563106796117,0.5846153846153846,0.32432432432432434,0.11764705882352941,-0.009941747572815534,0.19940776699029125,-0.20793846153846154,0.2461076923076923,0.33194594594594595,0.09632432432432432,0.33194594594594595,0.09632432432432432,NaN,NaN,-0.19465853658536586,0.24529268292682926,-0.230625,0.2475
Senate,74,1935,0.50504,0.5436893203883495,0.5733333333333334,0.4,0.14,-0.07650485436893203,0.23862135922330097,-0.20784,0.23113333333333333,0.2972,0.1726,0.2972,0.1726,NaN,NaN,-0.202125,0.18197916666666666,-0.218,0.31851851851851853
Senate,75,1937,0.49452869440459113,0.5533980582524272,0.5487804878048781,0.47058823529411764,0.1111111111111111,-0.13127184466019418,0.2377766990291262,-0.22764634146341464,0.2425,0.26688235294117646,0.04182352941176471,0.26688235294117646,0.04182352941176471,NaN,NaN,-0.228875,0.170875,-0.225,0.39676923076923076
Senate,76,1939,0.47441907661085747,0.5480769230769231,0.5342465753424658,0.5185185185185185,0.17,-0.08299038461538462,0.1945,-0.2204931506849315,0.26094520547945205,0.25392592592592594,-0.10059259259259258,0.25392592592592594,-0.10059259259259258,NaN,NaN,-0.228,0.18527083333333333,-0.20607999999999999,0.40624
Senate,77,1941,0.471810502283105,0.5523809523809524,0.5616438356164384,0.5,0.1262135922330097,-0.07696190476190476,0.20517142857142856,-0.21764383561643835,0.3073013698630137,0.25416666666666665,-0.09436666666666667,0.25416666666666665,-0.09436666666666667,NaN,NaN,-0.2484772727272727,0.1821818181818182,-0.17086206896551723,0.4971379310344827
